,decile,EQ,Social_Search_Impressions,Social_Search_Working_cost,Digital_Impressions,Digital_Working_cost,Print_Impressions.Ads40,Print_Working_Cost.Ads50,OOH_Impressions,OOH_Working_Cost,SOS_pct,Digital_Impressions_pct,CCFOT,Median_Temp,Median_Rainfall,Fuel_Price,Inflation,Trade_Invest,Brand_Equity,Avg_EQ_Price,Any_Promo_pct_ACV,Any_Feat_pct_ACV,Any_Disp_pct_ACV,EQ_Base_Price,Est_ACV_Selling,pct_ACV,Avg_no_of_Items,pct_PromoMarketDollars_Category,RPI_Category,Magazine_Impressions_pct,TV_GRP,Competitor1_RPI,Competitor2_RPI,Competitor3_RPI,Competitor4_RPI,EQ_Category,EQ_Subcategory,pct_PromoMarketDollars_Subcategory,RPI_Subcategory
0,0,667.8585555921428,17690892.42857143,75855.92857142857,6349730.5,199714.32142857142,207294.07142857142,106157.75,369996844.53571427,1910144.9642857143,22.357142857142858,25.428571428571427,61.17857142857143,53.464285714285715,0.4865860714285714,8.591678571428572,0.06297221428571428,5522.535714285715,43.19214285714286,51.96500000000001,8.339428571428574,3.744285714285715,2.345607142857143,1.5301785714285714,546619407.6071428,29.09714285714286,2.596414285714285,0.24334571428571425,39.713928571428575,51.13035714285714,29.811071428571427,107.34142857142857,38.613928571428566,45.58464285714285,70.8157142857143,7156284.607142857,511652.46428571426,0.23380714285714288,39.57785714285713
1,1,277.7174259117857,15571970.42857143,60078.857142857145,6647340.571428572,201148.10714285713,205014.75,97501.67857142857,451855323.71428573,1792867.1785714286,27.75,21.642857142857142,49.32142857142857,59.464285714285715,0.5412800000000001,8.412250000000002,0.06305371428571428,5389.892857142857,43.14214285714285,51.86642857142857,8.105535714285713,3.647857142857142,2.2649285714285714,1.531178571428571,644259619.8214285,27.596428571428568,2.575032142857143,0.19885714285714287,40.64521428571427,51.773928571428584,28.814999999999994,104.88892857142856,37.43142857142857,46.18535714285715,69.85428571428572,7155016.678571428,526414.4642857143,0.21882857142857143,40.216071428571446
2,2,1083.9048709789283,23185123.35714286,70334.85714285714,6204214.5,212023.4642857143,203763.17857142858,119702.39285714286,577718383.6785715,1992895.6785714286,24.571428571428573,24.642857142857142,64.21428571428571,55.714285714285715,0.5479064285714287,8.53232142857143,0.06522021428571428,5594.178571428572,43.271428571428565,52.232142857142854,7.415857142857145,4.237857142857143,2.6183214285714285,1.5701785714285716,592523173.9285715,28.682499999999997,2.5997,0.2720307142857143,41.111428571428576,52.85750000000001,31.51892857142857,104.84714285714283,39.23107142857142,46.289285714285725,70.23928571428571,6219402.5,493792.35714285716,0.23350357142857142,41.72250000000001
3,3,597.3191699134999,18703337.285714287,66125.46428571429,7125146.428571428,191658.39285714287,205844.35714285713,110357.46428571429,422850915.5,2050156.4642857143,29.464285714285715,26.5,49.25,51.67857142857143,0.5358960714285714,8.626785714285715,0.06215607142857142,5515.714285714285,43.21500000000001,50.21678571428571,8.511464285714284,3.8560714285714286,1.9911071428571425,1.5564285714285717,589359708.2857143,28.095357142857143,2.587757142857143,0.22407535714285717,40.629321428571416,47.43535714285713,28.9325,109.61142857142853,38.05464285714286,46.42892857142857,69.80678571428571,6173164.392857143,558087.8928571428,0.2269928571428572,41.57785714285713
4,4,1269.8488622296784,20879614.214285713,58869.46428571428,5672212.928571428,207559.0,196776.17857142858,105472.46428571429,473468470.96428573,2088812.4642857143,24.071428571428573,23.285714285714285,62.214285714285715,54.67857142857143,0.5429978571428571,8.438821428571428,0.08590592857142858,5463.035714285715,43.15071428571427,52.33999999999999,8.841357142857143,3.8792857142857144,2.5010714285714286,1.5676785714285715,588012870.7857143,28.02392857142857,2.5449321428571423,0.20874785714285712,41.16621428571428,49.93178571428573,27.661785714285713,105.88964285714287,38.92857142857143,46.1407142857143,71.02178571428571,6840373.5,585072.8571428572,0.22252142857142862,38.73321428571428
5,5,474.9295743592857,20162889.85714286,63912.78571428572,6606204.928571428,261860.4642857143,198088.2142857143,90933.82142857143,429154204.75,1977608.0357142857,30.5,30.571428571428573,51.75,55.535714285714285,0.5263410714285714,8.45675,0.06579046428571429,5540.857142857143,43.29035714285715,50.9525,7.520535714285713,3.9149999999999996,2.145178571428571,1.5432142857142856,604492648.1071428,29.75214285714286,2.615096428571429,0.23571535714285713,40.912357142857154,48.92321428571429,27.083928571428576,107.7082142857143,38.65535714285714,46.58607142857142,70.73035714285713,6343577.178571428,560044.3928571428,0.23478928571428567,39.18785714285714
6,6,598.9523998834286,17195317.42857143,70777.32142857143,6777988.285714285,219746.25,212828.2142857143,110591.14285714286,511255039.8214286,2309564.3928571427,28.857142857142858,26.357142857142858,61.285714285714285,58.75,0.6176403571428573,8.605642857142856,0.07526614285714284,5017.0,43.20785714285715,50.89142857142856,7.514571428571428,3.9214285714285713,2.5367142857142855,1.539107142857143,525251340.71428573,32.96821428571428,2.534010714285714,0.2032878571428572,39.605285714285706,47.695714285714295,26.725000000000005,106.60071428571429,38.73071428571429,45.825,73.1457142857143,6509966.607142857,577390.0357142857,0.17684642857142857,39.151785714285715
7,7,839.571280716393,21761602.464285713,52719.642857142855,7198544.178571428,183224.57142857142,188300.7857142857,103060.92857142857,369795079.10714287,1773872.392857143,25.821428571428573,29.678571428571427,56.035714285714285,54.92857142857143,0.3942910714285715,8.634464285714285,0.07439885714285714,5778.071428571428,43.166071428571435,50.26392857142857,8.839107142857141,3.666785714285715,1.6429642857142859,1.5422142857142853,567001157.8928572,30.59071428571429,2.495314285714286,0.3045671428571429,40.395500000000006,51.425714285714285,26.86785714285715,107.48928571428571,38.10678571428571,45.67607142857143,71.24857142857142,7025055.928571428,573403.4285714285,0.2211857142857143,39.277142857142856
8,8,566.0188619376072,21069210.85714286,53851.107142857145,8494359.0,206113.60714285713,186291.92857142858,79642.5,477410235.46428573,1617291.607142857,26.857142857142858,32.535714285714285,61.67857142857143,55.035714285714285,0.5013546428571428,8.562642857142857,0.0738672857142857,6288.5,43.22035714285714,52.320357142857155,9.336928571428572,3.566428571428571,2.0625357142857146,1.5496071428571432,619932239.2857143,28.889642857142853,2.5455642857142853,0.27973857142857145,40.42653571428571,54.3517857142857,27.109285714285715,105.72535714285713,38.168214285714285,46.63357142857143,69.34428571428573,6560500.285714285,511639.1785714286,0.196725,40.29428571428572
9,9,548.8220414550714,17647067.14285714,74893.17857142857,7100194.071428572,211760.07142857142,208314.57142857142,93415.03571428571,490396956.21428573,2236997.6785714286,27.107142857142858,23.178571428571427,54.357142857142854,58.607142857142854,0.5631721428571428,8.669571428571427,0.06557210714285713,6468.928571428572,43.26571428571429,49.67999999999999,7.897071428571431,3.403214285714285,2.5022857142857147,1.528214285714286,623268534.6071428,30.533214285714287,2.5510750000000004,0.260625,40.6305,51.02107142857142,27.55785714285714,105.29749999999997,40.74571428571428,45.81928571428572,70.54142857142857,7275565.821428572,601601.5,0.18637142857142858,41.16857142857143
